date,amount
6/4/2016,$28.95
6/4/2016,$88.74
6/4/2016,$3.59
6/5/2016,$17.93
6/5/2016,$9.13
6/6/2016,$9.51
6/6/2016,$3.26
6/6/2016,$0.33
6/7/2016,$81.08
6/7/2016,$0.98
6/8/2016,$10.50
6/8/2016,$16.01
6/8/2016,$23.47
6/9/2016,$6.32
6/10/2016,$77.07
6/10/2016,$36.35
6/10/2016,$2.28
6/10/2016,$1.96
6/11/2016,$4.56
6/11/2016,$9.14
6/11/2016,$16.15
6/11/2016,$8.80
6/12/2016,$15.12
6/12/2016,$2.67
6/12/2016,$1.37
6/13/2016,$3.50
6/13/2016,$46.55
6/13/2016,$16.27
6/14/2016,$57.80
6/14/2016,$65.53
6/15/2016,$12.39
6/15/2016,$23.31
6/15/2016,$2.93
6/15/2016,$2.61
6/16/2016,$60.38
6/16/2016,$66.54
6/16/2016,$14.64
6/16/2016,$12.81
6/17/2016,$26.41
6/17/2016,$7.82
6/17/2016,$50.43
6/17/2016,$21.78
6/18/2016,$40.34
6/18/2016,$0.65
6/18/2016,$8.53
6/18/2016,$19.61
6/19/2016,$537.90
6/19/2016,$537.90
6/19/2016,$270.03
6/20/2016,$0.01
6/21/2016,$0.01
6/22/2016,$0.01
6/23/2016,$70.00
6/23/2016,$66.28
6/23/2016,$32.18
6/24/2016,$8.40
6/24/2016,$38.46
6/24/2016,$3.25
6/24/2016,$12.34
6/25/2016,$48.53
6/25/2016,$11.95
6/25/2016,$3.50
6/26/2016,$4.18
6/26/2016,$24.21
6/26/2016,$99.30
6/27/2016,$0.00
6/27/2016,$59.90
6/27/2016,$1.25
6/27/2016,$4.50
6/28/2016,$12.16
6/28/2016,$45.05
6/29/2016,$7.00
6/30/2016,$47.00
6/30/2016,$0.70
6/30/2016,$2.80
6/30/2016,$1.75
7/1/2016,$3.50
7/2/2016,$41.10
7/3/2016,$22.30
7/3/2016,$22.59
7/4/2016,$32.50
7/4/2016,$2.00
7/5/2016,$2.37
7/5/2016,$40.50
7/5/2016,$5.15
7/5/2016,$26.75
7/6/2016,$5.46
7/6/2016,$64.10
7/6/2016,$8.00
7/7/2016,$75.75
7/7/2016,$10.30
7/8/2016,$16.75
7/8/2016,$1.74
7/9/2016,$1.82
7/9/2016,$66.20
7/9/2016,$73.83
7/10/2016,$34.43
7/10/2016,$18.84
7/11/2016,$15.00
7/11/2016,$34.31
7/11/2016,$20.24
7/11/2016,$18.78
7/12/2016,$43.75
7/12/2016,$28.34
7/12/2016,$9.89
7/13/2016,$107.50
7/13/2016,$141.63
7/13/2016,$20.94
7/14/2016,$75.63
7/14/2016,$108.77
7/15/2016,$23.37
7/15/2016,$18.82
7/15/2016,$33.69
7/16/2016,$28.03
7/16/2016,$37.82
7/16/2016,$15.51
7/16/2016,$102.16
7/17/2016,$141.72
7/18/2016,$101.21
7/18/2016,$4.21
7/18/2016,$11.49
7/18/2016,$6.42
7/19/2016,$70.28
7/19/2016,$21.85
7/19/2016,$11.84
7/19/2016,$3.64
7/20/2016,$98.09
7/20/2016,$14.10
7/20/2016,$10.91
7/20/2016,$5.42
7/21/2016,$43.42
7/21/2016,$23.07
7/21/2016,$36.53
7/21/2016,$2.10
7/22/2016,$16.03
7/22/2016,$13.28
7/22/2016,$24.09
7/22/2016,$23.73
7/23/2016,$78.31
7/23/2016,$46.25
7/23/2016,$3.50
7/23/2016,$16.92
7/24/2016,$28.88
7/24/2016,$7.31
7/24/2016,$8.67
7/24/2016,$12.45
7/25/2016,$8.04
7/25/2016,$18.70
7/26/2016,$22.16
7/26/2016,$37.27
7/26/2016,$1.05
7/26/2016,$2.10
7/27/2016,$10.70
7/27/2016,$7.34
7/28/2016,$45.45
7/28/2016,$16.00
7/28/2016,$4.25
7/28/2016,$0.75
7/29/2016,$115.35
7/29/2016,$145.31
7/30/2016,$28.73
7/30/2016,$28.25
7/30/2016,$5.66
7/30/2016,$34.82
7/31/2016,$30.59
7/31/2016,$26.57
8/1/2016,$20.52
8/1/2016,$5.24
8/1/2016,$5.24
8/1/2016,$1.43
8/2/2016,$38.77
8/2/2016,$23.91
8/3/2016,$9.57
8/3/2016,$1.75
8/4/2016,$71.53
8/4/2016,$78.48
8/5/2016,$22.27
8/5/2016,$16.08
8/5/2016,$21.32
8/6/2016,$42.93
8/6/2016,$31.46
8/6/2016,$27.72
8/6/2016,$5.00
8/7/2016,$82.45
8/7/2016,$80.00
8/7/2016,$26.25
8/7/2016,$44.63
8/8/2016,$0.31
8/8/2016,$2.67
8/8/2016,$16.36
8/8/2016,$4.38
8/9/2016,$7.70
8/10/2016,$17.41
8/11/2016,$39.29
8/11/2016,$6.56
8/11/2016,$15.97
8/12/2016,$304.74
8/12/2016,$278.31
8/13/2016,$104.92
8/13/2016,$104.66
8/14/2016,$12.64
8/14/2016,$68.40
8/14/2016,$8.25
8/14/2016,$11.71
8/15/2016,$49.78
8/15/2016,$58.82
8/16/2016,$266.16
8/17/2016,$172.20
8/18/2016,$0.67
8/19/2016,$9.85
8/20/2016,$18.50
8/20/2016,$230.17
8/21/2016,$3.06
